City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
203,guayaramerin,75,BO,1537556400,49,-10.82,-65.36,93.2,4.7
204,chateauroux,0,FR,1537558200,93,43.72,0.65,66.2,2.24
205,grand gaube,20,MU,1537556400,78,-20.01,57.66,73.4,8.05
206,ancud,92,CL,1537559671,98,-41.87,-73.83,52.94,13.78
207,bowen,75,AU,1537556400,77,-20.01,148.25,66.2,10.29
208,gidam,92,IN,1537559637,99,18.98,81.4,69.68,13.78
209,hofn,90,IS,1537556400,56,64.25,-15.21,44.6,25.28
210,ilulissat,20,GL,1537555800,54,69.22,-51.1,30.2,4.7
211,rawson,75,AR,1537557600,20,-43.3,-65.11,66.2,28.86
212,the valley,20,AI,1537556400,62,18.22,-63.06,89.6,14.99
213,tasiilaq,75,GL,1537555800,47,65.61,-37.64,37.4,16.11
214,inhambane,75,MZ,1537556400,88,-23.87,35.38,75.2,8.08
215,bugko,76,PH,1537559841,100,12.54,124.79,77.78,6.17
216,baft,20,IR,1537559841,40,29.23,56.61,55.1,2.82
217,chumikan,0,RU,1537559681,92,54.72,135.31,39.17,3.94
218,puerto baquerizo moreno,90,EC,1537556400,69,-0.9,-89.6,75.2,14.99
219,biscarrosse,0,FR,1537558200,82,44.41,-1.18,60.8,5.73
